action,course_id,course_number,current_title,current_credit_hours,current_designated_semester,current_offered_periods_json,current_standing_requirement,current_additional_requirements_text,current_min_section_size,new_title,new_credit_hours,new_designated_semester,new_offered_periods_json,new_standing_requirement,new_additional_requirements_text,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
,df112282-52eb-46b3-8102-d98a50721908,Chem 335,Physical Chemistry I,3.0,,,,,6,,,,,,,,,
,726aeff7-26e2-4d65-88a2-6ea56b03054b,Chem 336,Physical Chemistry II,3.0,,,,,6,,,,,,,,,
,a571dc61-de75-4940-9eb4-c220f9fd875d,Chem 344,Instrumental Analysis,3.0,,,,,6,,,,,,,,,
,cf7ebf50-11f4-4c6c-b985-2e08089832d4,Chem 350,Chemistry of Weapons,3.0,,,,,6,,,,,,,,,
,eedccdd9-58ad-4422-8e8f-f8aae4a13595,Chem 353,Theory of Instrumental Methods of Chemical Analysis,3.0,,,,,6,,,,,,,,,
,996126e8-7264-4d1c-9071-6f19ff4c120d,Chem 381,Chemistry of the Environment,3.0,,,,,6,,,,,,,,,
,e301e50b-be74-43dc-bb1a-2467229e4e47,Chem 399,Independent Study Techniques,3.0,,,,,6,,,,,,,,,
,b1c04a54-16e7-49bc-beff-72188b15fd6a,Chem 431,Theoretical Inorganic Chemistry,3.0,,,,,6,,,,,,,,,
,69944ac6-26c4-4d2e-9b39-046b4e928cf7,Chem 432,Special Topics in Inorganic Chemistry,3.0,,,,,6,,,,,,,,,
,1b40369f-f093-4333-b146-fb4faf945d25,Chem 433,Advanced Organic Chemistry,3.0,,,,,6,,,,,,,,,
,51c300db-71dc-487f-a349-a98f226a3afa,Chem 434,Introduction to Biochemistry,3.0,,,,,6,,,,,,,,,
,c1c47781-0a09-43c5-8064-cd2f020163c4,Chem 435,Advanced Physical Chemistry,3.0,,,,,6,,,,,,,,,
,e918a904-96a4-43b2-9e3b-26eb06766b1a,Chem 440,Polymer Chemistry,3.0,,,,,6,,,,,,,,,
,9dfcbc1f-d93c-4bb9-a7d9-c4884df80c69,Chem 444,Integrated Chemistry Laboratory,3.0,,,,,6,,,,,,,,,
,ecaa2cd4-791e-452c-ac23-f0779ee4c8d5,Chem 445,Advanced Laboratory Techniques,3.0,,,,,6,,,,,,,,,
,95e8a76d-aaff-4b11-b763-ade1a94b797c,Chem 465,Chemistry of Advanced Materials,3.0,,,,,6,,,,,,,,,
,306c6f9f-36a5-4a27-992a-02dd29151ac5,Chem 481,Laboratory Practical Exam at semester’s end,3.0,,,,,6,,,,,,,,,
,5046d0f3-d690-4b4a-8e7e-fbedc0be240e,Chem 482,Biochemistry II,3.0,,,,,6,,,,,,,,,
,5ca6199a-d068-4361-a43e-289d048ce382,Chem 491,Biochemistry Laboratory,3.0,,,,,6,,,,,,,,,
,0770c549-d5d3-4bad-b83c-42ae06b431f2,Chem 495,Special Topics,3.0,,,,,6,,,,,,,,,
,aa99c74d-f7f5-4fed-ac7a-346a0dc6826a,Chem 499,Knowledge and skills gained will facilitate the initiation of research projects and improve efficiency of the research process,3.0,,,,,6,,,,,,,,,
,c6b6f5e1-e627-41eb-8961-db62405f0a4a,Chem 499A,Independent Study,3.0,,,,,6,,,,,,,,,
,a932b399-fd71-4600-9676-1ddb9c0d6a67,Chem 499B,Independent Study,3.0,,,,,6,,,,,,,,,
,bb98f912-c37c-4a07-8c95-6038bed7d122,Chem 499C,Independent Study,3.0,,,,,6,,,,,,,,,
,9d4c5ca7-3e39-4791-afb5-bc10d0721b88,Chinese 365,Chinese Civilization and Culture,3.0,,,,,6,,,,,,,,,
,13313913-a35e-47f9-8707-cf87969d90d1,Chinese 430,Exploring Chinese Culture through Formulaic Expressions,3.0,,,,,6,,,,,,,,,
,a2be0b99-8332-45cc-920d-165043bc48fa,Chinese 431,Culture and Knowledge of the Chinese Military,3.0,,,,,6,,,,,,,,,
